,ID,Name,Ori_Name,Egil_Saga,People_Of_Vatnsdal,People_Of_Laxardal,Bolli_Bollason_Tale,Hrafnkel_Frey_Godi,Confederates,Gisli_Sursson_Saga,Gunnlaug_Serpent_tongue,Ref_the_S,Vinland_Sagas,Greenlanders,Eirik_Red_Saga,Thorstein_Staff_struck,Halldor_Snorrason_II,Sarcastic_Halli,Thorstein_Shiver,Audun_From_West_Fjords,Story_wise_Icelander
11,11,Adrianus páfi,"Adrianus páfi, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,12,Ægileif Hrólfsdóttir,"Ægileif Hrólfsdóttir, Helgasonar, kona Hróalds Höskuldssonar í Skörðum, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,13,Ægileif Þorsteinsdóttir,"Ægileif Þorsteinsdóttir, kona Hlenna Ásmundarsonar, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,14,Ægir,"Ægir, sjávarguð, ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,15,Æsa Grjótgarðsdóttir jarls (Hákonardóttir),"Æsa Grjótgarðsdóttir jarls (Hákonardóttir), móðir Ketilbjarnar gamla, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,16,Æsa Hákonardóttir jarls,"Æsa Hákonardóttir jarls, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,17,Æsa Hrólfsdóttir rauðskeggs (Ása),"Æsa Hrólfsdóttir rauðskeggs (Ása), kona Þorsteins Sigmundarsonar, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,18,Æsa in ljósa Eysteinsdóttir af Valdresi,"Æsa in ljósa Eysteinsdóttir af Valdresi, kona Hjörleifs ins kvensama Hjörssonar, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,19,Æsa in örðiga Hlöðvésdóttir,"Æsa in örðiga Hlöðvésdóttir, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,20,Æsa Kjallaksdóttir,"Æsa Kjallaksdóttir, í Svíney, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,21,Æsa Ljótólfsdóttir goða,"Æsa Ljótólfsdóttir goða, kona Þórðar knapps Bjarnarsonar, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,22,Æsa Oddleifsdóttir,"Æsa Oddleifsdóttir, kona Þorgils Gripssonar, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23,23,Æsa Ófeigsdóttir grettis,"Æsa Ófeigsdóttir grettis, Önundarsonar, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
24,24,Æsa Vaðadóttir,"Æsa Vaðadóttir, á Skáldsstöðum í Berufirði, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25,25,Æsa,"Æsa, kona Þórðar á Núpi, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,26,Ævarr Ketilsson inn gamli,"Ævarr Ketilsson inn gamli, landnm. í Ævarsskarði, ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27,27,Ævarr Vémundar orðlokars,"Ævarr Vémundar orðlokars, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28,28,Ævarr Þorgeirsson inn gamli,"Ævarr Þorgeirsson inn gamli, landnm. á Arnhallsstöðum, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29,29,Agði,"Agði, sem Agðanes er við kennt, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
30,30,Agnarr Ragnarsson loðbrókar,"Agnarr Ragnarsson loðbrókar, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31,31,Agnarr Reginmóðsson,"Agnarr Reginmóðsson, berserkr, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32,32,Agnarr,"Agnarr, bóndi á Grænmörk, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33,33,Agni Alreksson,"Agni Alreksson, Svíakonungr, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34,34,Áki Atlason,"Áki Atlason, Ótryggssonar, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35,35,Áki inn auðgi,"Áki inn auðgi, danskr maðr, ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36,36,Áki,"Áki, ármaðr Sveinskonungs Úlfssonar, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
37,37,Akkerisfrakki,"Akkerisfrakki, gervinafn Óláfs Tryggvasonar, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38,38,Akra-Þórir,"Akra-Þórir, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,39,Akraskeggr,"Akraskeggr, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40,40,Albertus byskup í Brimum,"Albertus byskup í Brimum, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41,41,Albertus,"Albertus, erkibyskup í Brimum, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42,42,Aldís Ljótsdóttir (Hólmgöngu-Ljóts),"Aldís Ljótsdóttir (Hólmgöngu-Ljóts),  ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
43,43,Aldís Ófeigsdóttir grettis,"Aldís Ófeigsdóttir grettis, Einarssonar, kona Áskels Ormssonar í Húsagarði, móðir Valla-Brands, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
44,44,Aldís Ófeigsdóttir grettis,"Aldís Ófeigsdóttir grettis, Önundarsonar tréfóts, (Ásdís), kona Bárðar Jökulssonar, rangl. talin móðir Valla-Brands, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
45,45,Aldís Óláfsdóttir,"Aldís Óláfsdóttir, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
46,46,Alexander Leósson,"Alexander Leósson, Miklagarðskeisari, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
47,47,Alexíus,"Alexíus, Grikkjakonungr, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
48,48,Alfarinn Válason,"Alfarinn Válason, landnm. á Snæfellsnesi, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
49,49,Álfdís Gamladóttir,"Álfdís Gamladóttir, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50,50,Álfdís Koðránsdóttir,"Álfdís Koðránsdóttir, kona Brúna í Gnúpufelli, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51,51,Álfdís Konálsdóttir,"Álfdís Konálsdóttir, kona Óláfs feilans, ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
52,52,Álfdís,"Álfdís, kona Refs at Haugi, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
53,53,Álfgeirr,"Álfgeirr, jarl í Norðimbralandi, ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
54,54,Álfgeirr,"Álfgeirr, landnm. á Álfgeirsvöllum, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
55,55,Álfgeirr,"Álfgeirr, Suðreyingr, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56,56,Alfgerðr Arngeirsdóttir ins austræna,"Alfgerðr Arngeirsdóttir ins austræna, kona Þorgeirs Ljósvetningagoða, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57,57,Álfgerðr læknir,"Álfgerðr læknir, at Ekkjufelli, ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58,58,Álfgerðr Þorleifsdóttir beiskalda,"Álfgerðr Þorleifsdóttir beiskalda, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,59,Álfgerðr Þórormsdóttir,"Álfgerðr Þórormsdóttir, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
60,60,Álfheiðr Vetrliðadóttir skálds,"Álfheiðr Vetrliðadóttir skálds, kona Högna Gunnarssonar, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
61,61,Álfheiðr Þorleifsdóttir beiskalda (Álfgerðr),"Álfheiðr Þorleifsdóttir beiskalda (Álfgerðr), kona Grundar-Ketils Þorsteinssonar, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62,62,Álfheiðr Þorvaldsdóttir ins auðga,"Álfheiðr Þorvaldsdóttir ins auðga, kona Gizurar Hallssonar, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
63,63,Álfhildr,"Álfhildr, kona Kolla á Sauðanesi, svo fylgikona Víga-Skútu, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
64,64,Álfhildr,"Álfhildr, konungsambátt, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
65,65,Alfífa Álfrinsdóttir,"Alfífa Álfrinsdóttir, drottning, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
66,66,Álfr aftrkemba,"Álfr aftrkemba, í Sandey, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
67,67,Álfr askmaðr Özurarson tóta (Askmaðr),"Álfr askmaðr Özurarson tóta (Askmaðr), bróðir Gunnhildar drottningar, ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
68,68,Álfr Eysteinsson,"Álfr Eysteinsson, í Dölum (Dala-Álfr), ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
69,69,Álfr Finnbogason ramma,"Álfr Finnbogason ramma, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
70,70,Álfr goði,"Álfr goði, faðir Valla-Ljóts, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
71,71,Álfr inn auðgi,"Álfr inn auðgi, ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
72,72,Álfr inn egzki,"Álfr inn egzki, landnm. at Geipum, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
73,73,Álfr inn litli,"Álfr inn litli, í Þambárdal, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
74,74,Álfr Þórarinsson,"Álfr Þórarinsson, í Þambárdal, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
75,75,Álfr,"Álfr, á Vors, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
76,76,Álfr,"Álfr, hersir í Þrándheimi, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
77,77,Álfr,"Álfr, í Ostu, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
78,78,Áli Oddsson (rangt Þorvarðsson) inn auðgi,"Áli Oddsson (rangt Þorvarðsson) inn auðgi, á Söndum, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
79,79,Áli Svarthöfðason ok Herdísar Oddsdóttur,"Áli Svarthöfðason ok Herdísar Oddsdóttur, Álasonar (ekki Herdísar Hrafnsdóttur; Óli), ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
80,80,Áli Þorvarðsson,"Áli Þorvarðsson, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
81,81,Áli,"Áli, sækonungr, ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
82,82,Álöf árbót Haraldsdóttir hárfagra,"Álöf árbót Haraldsdóttir hárfagra, kona Þóris jarls þegjandi, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
83,83,Álöf Arnþjófsdóttir,"Álöf Arnþjófsdóttir, kona Halls Órækjusonar, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
84,84,Álöf Böðvarsdóttir hersis (Ólöf),"Álöf Böðvarsdóttir hersis (Ólöf), kona Teits Ketilbjarnarsonar, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
85,85,Álöf Brynjólfsdóttir (Brunnólfsdóttir),"Álöf Brynjólfsdóttir (Brunnólfsdóttir), kona Grímkels á Vörs, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
86,86,Álöf elliðaskjöldr Ófeigsdóttir (Ólöf),"Álöf elliðaskjöldr Ófeigsdóttir (Ólöf), kona Þórbergs kornamúla, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
87,87,Álöf Erlingsdóttir ins auðga úr Ostr,"Álöf Erlingsdóttir ins auðga úr Ostr, seinni kona Bjarnar hölds, ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
88,88,Álöf Guðmundardóttir (Ólöf),"Álöf Guðmundardóttir (Ólöf), kona Eyjólfs á Borg inni syðri í Víðidal, ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
89,89,Álöf Ingólfsdóttir,"Álöf Ingólfsdóttir, kona Eiríks snöru landnm. í Árnesi, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
90,90,Álöf kjannök (Kjannök) fóstra Guðmundarsona,"Álöf kjannök (Kjannök) fóstra Guðmundarsona, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
91,91,Álöf Özurardóttir,"Álöf Özurardóttir, kona Kols Síðu-Hallssonar, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
92,92,Álöf Ragnarsdóttir loðbrókar (Ólöf),"Álöf Ragnarsdóttir loðbrókar (Ólöf), kona Hunda-Steinars jarls, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
93,93,Álöf Snorradóttir goða,"Álöf Snorradóttir goða, kona Jörundar Þorfinnssonar, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
94,94,Álöf Þórðardóttir vaggagða (Sigríðr),"Álöf Þórðardóttir vaggagða (Sigríðr), kona Ásbjarnar jarls skerjablesa og síðar Gríms landnm. í Grímsnesi, ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
95,95,Álöf Þorgrímsdóttir þönguls,"Álöf Þorgrímsdóttir þönguls, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
96,96,Álöf Þorsteinsdóttir rauðs (Ólöf),"Álöf Þorsteinsdóttir rauðs (Ólöf), í Færeyjum, ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
97,97,Álöf Þorvarðsdóttir (Þorvaldsdóttir),"Álöf Þorvarðsdóttir (Þorvaldsdóttir), Síðu-Hallssonar, fyrri kona eða fylgikona Halldórs Snorrasonar goða, móðir Guðrúnar í Vatnsfirði, ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
