Canonical_ID,Original_Name,Full_Name,Smiley_ID,Smiley_Name,URAP_ID,URAP_Name,Gender,Chapter,Page,Saga
507,"Auðunn skökull Bjarnarson, landnm. á Auðunarstöðum, ",Auðunn skökull Bjarnarson,80,Audun Bjarnarson Shaft (settler in Vididal),:574,Audun Shaft,:1,:40,:345,:Laxdoela
509,"Auðunn Válason stóri, landnm. í Hraunsfirði, ",Auðunn Válason stóri,78,Audun (from the West Fjords),:19,Audun Stoti,:1,:-1,:-1,:Eyrbyggja
521,"Ávaldi Ingjaldsson (Ávaldr, Skegg-Ávaldi), ",Ávaldi Ingjaldsson (Ávaldr Skegg-Ávaldi),84,Avaldi Ingjaldsson (Beard-Avaldi),:126,Avaldi Ingjaldsson Beard-Avaldi,:1,:44,:260,:Vatnsdal
530,"Barði Guðmundarson, í Ásbjarnarnesi (Víga-Barði), ",Barði Guðmundarson,94,Bardi (Killer-Bardi) Gudmundarson,:272:507:79:21,Killer-Bardi Godmundsson,:1:1:1:1,:-1:31:27:-1,:-1:326:230:-1,:Egil:Laxdoela:Vatnsdal:Eyrbyggja
534,"Bárðr Brynjólfsson inn hvíti ok inn sterki, ór Torgum, ",Bárðr Brynjólfsson inn hvíti ok inn sterki,90,Bard Brynjolfsson the White,:39,Bard Son of Brynjolf and Helga,:1,:-1,:-1,:Egil
541,"Bárðr Höskuldsson, Dala-Kollssonar, ",Bárðr Höskuldsson,92,Bard Hoskuldsson,:436:20,Bard,:1:1,:9:-1,:284:-1,:Laxdoela:Eyrbyggja
553,"Bárðr stirfinn, inn margkunnumgi, ",Bárðr stirfinn,93,Bard the Peevish,:145,Bard the Peevish,:1,:47,:267,:Vatnsdal
566,"Bárðr, á Grænmói, ",Bárðr,87,Bard (in Surnadal),:18,Bard,:1,:2,:501,:Gisla
582,"Baugr Rauðsson ruggu, landnm., ",Baugr Rauðsson ruggu,96,Baug (foster-brother of Ketil Haeng),:74,Baug,:1,:-1,:-1,:Egil
585,"Beinir inn sterki Hjaltason, ",Beinir inn sterki Hjaltason,101,Beinir the Strong,:484,Beinir the Strong,:1,:24,:315,:Laxdoela
591,"Bera Egilsdóttir, kona Özurar Eyvindarsonar, ",Bera Egilsdóttir,102,Bera Egilsdottir (Skallagrimsson),:229,Bera Egilsdottir,:0,:-1,:-1,:Egil
593,"Bera Yngvarsdóttir, kona Skalla-Gríms, ",Bera Yngvarsdóttir,103,Bera Yngvarsdottir (wife of Skallagrim),:62,Bera Yngvar's daughter,:0,:-1,:-1,:Egil
595,"Berðlu-Kári Vémundarson, ",Berðlu-Kári Vémundarson,529,Kari from Berle,:7,Kari from Berle,:1,:-1,:-1,:Egil
596,"Berg-Önundr Þorgeirsson þyrnifótar, ",Berg-Önundr Þorgeirsson þyrnifótar,108,Berg-Onund Thorgeirsson,:148,Berg-Onund,:1,:-1,:-1,:Egil
607,"Bergr inn rakki Skíðason, ",Bergr inn rakki Skíðason,105,Berg the Bold,:96,Berg the Bold,:1,:31,:239,:Vatnsdal
608,"Bergr skammfótr, á Skammfótarmýri, ",Bergr skammfótr,104,Berg Skammfot (at Skammfotarmyri),:80,Berg Skammfot,:1,:18,:524,:Gisla
609,"Bergr Vésteinsson, ",Bergr Vésteinsson,106,Berg Vesteinsson (son of Vestein Vesteinsson),:47,Berg,:1,:4,:504,:Gisla
616,"Bergþóra Óláfsdóttir pá, kona Þórhalls goða í Djúpafirði, ",Bergþóra Óláfsdóttir pá,110,Bergthora Olafsdottir (Peacock),:266:499,Bergthora Olaf's daughter,:0:0,:-1:28,:-1:321,:Egil:Laxdoela
624,"Bergþórr Þorláksson, á Eyri, ",Bergþórr Þorláksson,109,Bergthor (farmer at Bodvarsholar),:22,Bergthor Thorlaksson,:1,:-1,:-1,:Eyrbyggja
629,"Bersi goðlauss Bálkason, landnm. á Torfhvalastöðum, ",Bersi goðlauss Bálkason,112,Bersi the Godless,:196,Bersi the Godless,:1,:-1,:-1,:Egil
641,"Bersi, bóndi á Bersastöðum í Dýrafirði, ",Bersi,111,Bersi (farmer at Bersastadir),:70,Bersi,:1,:11,:513,:Gisla
657,"Bjálfi, bóndi í Vestri byggð, ",Bjálfi,114,Bjalfi (father of Kveldulf),:2,Bjalfi Ulf's father,:1,:-1,:-1,:Egil
670,"Bjarni Breiðár-Skeggjason, ",Bjarni Breiðár-Skeggjason,120,Bjarni Skeggjason (from Breida),:596,Bjarni,:1,:40,:347,:Laxdoela
687,"Bjarni, bóndi at Laugarhúsum, ",Bjarni,116,Bjarni (farmer at Laugarhus),:16,Bjarni,:1,:3,:439,:Hrafnkel
693,"Bjartmarr Ánsson rauðfeldar, ",Bjartmarr Ánsson rauðfeldar,123,Bjartmar (in Arnarfjord),:26,Bjartmar,:1,:4,:504,:Gisla
699,"Björg Eyvindardóttir Austmanns, kona Ulfs ins skjálga, ",Björg Eyvindardóttir Austmanns,124,Bjorg Eyvindardottir,:402,Bjorg Eyvindardotti,:0,:6,:280,:Laxdoela
702,"Björgólfr, bóndi í Torgum, ",Björgólfr,125,Bjorgolf (landholder at Torgar Island),:35,Bjorgolf,:1,:-1,:-1,:Egil
713,"Björn Brynjólfsson höldr, ",Björn Brynjólfsson höldr,133,Bjorn Brynjolfsson the Landowner,:133,Bjorn Brynjolfsson,:1,:-1,:-1,:Egil
720,"Björn Grímsson búna, hersir í Sogni, ",Björn Grímsson búna,134,Bjorn Buna (hersir in Norway),:326:26,Bjorn Buna,:1:1,:1:-1,:276:-1,:Laxdoela:Eyrbyggja
735,"Björn inn blakki, berserkr, ",Björn inn blakki,139,Bjorn the Black (berserk),:10,Bjorn the Black,:1,:1,:500,:Gisla
736,"Björn inn digri, ",Björn inn digri,121,Bjarni the Stout,:304,Bjarni the Stout,:1,:-1,:-1,:Egil
756,"Björn Refilsson inn austræni, landnm. í Bjarnarhöfn, ",Björn Refilsson inn austræni,137,Bjorn Ketilsson the Easterner (son of Ketil Flat-nose),:274:329:29,Bjorn the Easterner,:1:1:1,:-1:1:-1,:-1:276:-1,:Egil:Laxdoela:Eyrbyggja
775,"Björn, Austmaðr annar, ",Björn,129,Bjorn (Norwegian skipper),:117,Bjorn Norwegian skipper,:1,:43,:257,:Vatnsdal
792,"Björn, landnm. í Bjarnarfirði inum syðra, ",Björn,130,Bjorn (settler in Bjarnarfjord. father of Jorunn Bjarnardottir),:432,Bjorn,:1,:9,:284,:Laxdoela
815,"Blund-Ketill Geirsson ins auðga, ",Blund-Ketill Geirsson ins auðga,533,Ketil Blund,:150,Ketil Blund,:1,:-1,:-1,:Egil
828,"Böðvarr Egilsson, Skalla-Grímssonar, ",Böðvarr Egilsson,144,Bodvar Egilsson (Skallagrimsson),:225,Bodvarr Egilsson,:1,:-1,:-1,:Egil
846,"Böðvarr, landnm. í Böðvarshólum, ",Böðvarr,143,Bodvar (one of Ingimund Thorsteinsson's men),:44,Bodvar one of Ingimund Thorsteinsson's men,:1,:13,:209,:Vatnsdal
851,"Bolli Bollason inn prúði, ",Bolli Bollason inn prúði,145,Bolli Bollason (son of Gudrun Osvifsdottir),:630:31,Bolli,:1:1,:54:-1,:379:-1,:Laxdoela:Eyrbyggja
853,"Bolli Þorleiksson, ",Bolli Þorleiksson,658,Ospak Bollason,:492:32,Bolli,:1:1,:25:-1,:318:-1,:Laxdoela:Eyrbyggja
863,"Börkr Þorsteinsson inn digri, at Helgafelli, ",Börkr Þorsteinsson inn digri,147,Bork Thorsteinsson the Stout,:413:103:33,Bork the Stout,:1:1:1,:7:5:-1,:282:505:-1,:Laxdoela:Gisla:Eyrbyggja
866,"Bóthildr, ambátt í Hergilsey, ",Bóthildr,148,Bothild (slave of Ingjald),:89,Bothild,:0,:25,:536,:Gisla
870,"Bragi skáld Boddason inn gamli, ",Bragi skáld Boddason inn gamli,149,Bragi Boddason (poet),:218,Bragi Boddason the Old,:1,:-1,:-1,:Egil
889,"Brandr Vermundarson inn örvi, ",Brandr Vermundarson inn örvi,153,Brand Vermundarson the Generous,:594:34,Brand the Generous,:1:1,:40:-1,:347:-1,:Laxdoela:Eyrbyggja
890,"Brandr Þórarinsson, at Húsafelli, ",Brandr Þórarinsson,152,Brand Thorarinsson,:677,Brand,:1,:78,:420,:Laxdoela
894,"Brandr Þorgrímsson, í Krossnesi, ",Brandr Þorgrímsson,152,Brand Thorarinsson,:269,Brand Thorgrimsson,:1,:-1,:-1,:Eyrbyggja
904,"Breiðár-Skeggi, ",Breiðár-Skeggi,741,Skeggi of Breida,:598,Skeggi of Breida,:1,:40,:347,:Laxdoela
938,"Brynjólfr Bjarnarson, hersir á Aurlandi í Sogni, ",Brynjólfr Bjarnarson,155,Brynjolf Bjarnarson (hersir in Sognefjord),:132,Brynjolf Bjarnarson,:1,:-1,:-1,:Egil
940,"Brynjólfr Helgason, í Sogni, ",Brynjólfr Helgason,157,Brynjolf Helgason,:164,Brynjolf Helgasson,:1,:-1,:-1,:Egil
964,"Dala-Kollr Veðrar-Grímsson, ",Dala-Kollr Veðrar-Grímsson,564,Koll (Dala-Koll),:363,Koll,:1,:4,:278,:Laxdoela
968,"Dalla Onundardóttir sjóna, kona Ögmundar á Mel, ",Dalla Onundardóttir sjóna,160,Dalla Onundardottir (daughter of Onund Anason Sjoni),:307,Dalla Onundardottir,:0,:-1,:-1,:Egil
969,"Dalla Þorvaldsdóttir, kona ísleifs byskups, ",Dalla Þorvaldsdóttir,161,Dalla Thorvaldsdottir (wife of Bishop Isleif),:586,Dalla,:0,:40,:345,:Laxdoela
976,"Digr-Ormr Þorgilsson, ",Digr-Ormr Þorgilsson,653,Orm Thorgilsson,:122,Orm Thorgilsson,:1,:44,:259,:Vatnsdal
1006,"Dýri, höfðingi í Dýrafirði, ",Dýri,163,Dyri (settler in Dyrafjord),:29,Dyri,:1,:4,:504,:Gisla
1020,"Egill Skalla-Grímsson, á Borg, ",Egill Skalla-Grímsson,168,Egil Skallagrimsson,:127:479,Egil Skallagrimsson,:1:1,:-1:22,:-1:312,:Egil:Laxdoela
1023,"Egill sterki, þræll Þorbrands í Álftafirði, ",Egill sterki,169,Egil Skulason (grandson of Thorstein Egilsson. a 'Confederate'),:40,Egil,:1,:-1,:-1,:Eyrbyggja
1026,"Egill Þorsteinsson, Egilssonar, ",Egill Þorsteinsson,170,Egil Thorsteinsson (Egilsson),:297,Egil Thorsteinsson,:1,:-1,:-1,:Egil
1030,"Eiðr Skeggjason, í Ási í Hálsasveit, ",Eiðr Skeggjason,171,Eid of As,:636,Eid of As,:1,:57,:383,:Laxdoela
1058,"Einarr Eyjólfsson Þveræingr, ",Einarr Eyjólfsson Þveræingr,173,Einar Eyjolfsson of Thvera,:26,Einar Eyjolfsson of Thvera,:1,:10,:204,:Vatnsdal
1063,"Einarr Helgason skálaglamm, skáld, ",Einarr Helgason skálaglamm,175,Einar Helgason Skalaglamm,:277,Einar Helgason Skalaglam,:1,:-1,:-1,:Egil
1075,"Einarr Rögnvaldsson (Torf-Einarr), jarl í Orkneyjum, ",Einarr Rögnvaldsson (Torf-Einarr),1112,Turf-Einar Rognvaldsson,:21,Turf-Einar Rognvaldsson,:1,:9,:203,:Vatnsdal
1077,"Einarr Skeggjason, á Flyðrunesi, ",Einarr Skeggjason,179,Einar Skeggjason (the Dueller),:22,Einar Skeggjason,:1,:3,:503,:Gisla
1085,"Einarr Teitsson Stafhyltingr, í Stafaholti, ",Einarr Teitsson Stafhyltingr,181,Einar Teitsson (godi),:313,Einar Teittson,:1,:-1,:-1,:Egil
1087,"Einarr Þorbjarnarson, at Hóli, ",Einarr Þorbjarnarson,182,Einar Thorbjarnarson,:24,Einar,:1,:4,:440,:Hrafnkel
1114,"Eiríkr alspakr, lendr maðr í Noregi, ",Eiríkr alspakr,188,Eirik the All-wise (landholder),:219,Eirik All-Wise,:1,:-1,:-1,:Egil
1117,"Eiríkr Hákonarson, jarl í Noregi, ",Eiríkr Hákonarson,186,Eirik Hakonarson the Earl,:319,Earl Eirik,:1,:-1,:-1,:Egil
1118,"Eiríkr Haraldsson blóðöx, Noregskonungr, ",Eiríkr Haraldsson blóðöx,187,Eirik Haraldsson Blood-axe,:140,Eirik Bloodaxe,:1,:-1,:-1,:Egil
1122,"Eiríkr inn sigrsæli Bjarnarson at Uppsölum, Svíakonungr, ",Eiríkr inn sigrsæli Bjarnarson at Uppsölum,189,Eirik the Victorious,:292,King Eirik the Victorious,:1,:-1,:-1,:Eyrbyggja
1133,"Eiríkr Þorvaldsson inn rauði, ",Eiríkr Þorvaldsson inn rauði,190, Eirik Thorvaldsson the Red (first settler in Greenland. father of Leif Eiriksson) ,:41,Eirik the Red,:1,:-1,:-1,:Eyrbyggja
1146,"Eldgrímr Arnbjargarson, á Eldgrímsstöðum, ",Eldgrímr Arnbjargarson,192,Eldgrim (at Eldgrimsstadir),:568,Eldgrim,:1,:37,:338,:Laxdoela
1150,"Elfráðr inn ríki, Englakonungr, ",Elfráðr inn ríki,12,Alfred the Great (King of England),:183,Alfred the Great,:1,:-1,:-1,:Egil
1157,"Erlendr Jónsson hímaldi, ",Erlendr Jónsson hímaldi,194,Erlend Jonsson the Torpid,:620,Erlend the Torpid,:1,:50,:374,:Laxdoela
1159,"Erlingr inn auðgi, í Ostr, ",Erlingr inn auðgi,195,Erling the Wealthy,:144,Erling the Wealthy,:1,:-1,:-1,:Egil
1165,"Erpr Meldunsson, landnm. á Erpsstöðum, ",Erpr Meldunsson,196,Erp (from pictish 'Esp',:384,Erp,:1,:6,:280,:Laxdoela
1176,"Eyjólfr Æsuson, ór Svíney, ",Eyjólfr Æsuson,200,Eyjolf Aesuson (of Sviney),:46,Eyjolf Æsuson,:1,:-1,:-1,:Eyrbyggja
1180,"Eyjólfr Egilsson, er veginn var á alþingi, ",Eyjólfr Egilsson,199,Eyjolf (outlaw),:584,Eyjolf,:1,:40,:345,:Laxdoela
1190,"Eyjólfr inn grái Þórðarson gellis, í Otradal, ",Eyjólfr inn grái Þórðarson gellis,203,Eyjolf Thordarson the Grey,:407:104:44,Eyjolf the Grey,:1:1:1,:7:15:-1,:282:519:-1,:Laxdoela:Gisla:Eyrbyggja
1191,"Eyjólfr inn halti Guðmundarson, á Möðruvöllum í Eyjafirði, ",Eyjólfr inn halti Guðmundarson,202,Eyjolf Gudmundarson the Lame,:583,Eyjolf the Lame,:1,:40,:345,:Laxdoela
1215,"Eyjólfr, heimamaðr Helga Harðbeinssonar, ",Eyjólfr,201,Eyjolf Eyjolfsson,:647,Eyjolf,:1,:64,:397,:Laxdoela
