Canonical_ID,Original_Name,Full_Name,Smiley_ID,Smiley_Name,URAP_ID,URAP_Name,Gender,Chapter,Page,Saga
134,"Ari Þorgilsson inn fróði, á Stað á Snæfellsnesi, ",Ari Þorgilsson inn fróði,22,Ari Thorgilsson the Learned,:703:4,Ari the Learned,:2:1,:78:-1,:420:-1,:Laxdoela:Eyrbyggja
135,"Ari Þorgilsson inn sterki, á Stað á Snæfellsnesi, ",Ari Þorgilsson inn sterki,23,Ari Thorgilsson the Strong,:685,Ari the Strong,:1,:78,:420,:Laxdoela
136,"Ari Þorkelsson, í Súrnadal, ",Ari Þorkelsson,24,Ari Thorkelsson (Skerauki),:3,Ari,:1,:1,:500,:Gisla
137,"Ari, at Sandgili, ",Ari,,,,,,,,
138,"Arinbjörn eldri, hersir í Fjörðum, ",Arinbjörn eldri,,,,,,,,
139,"Arinbjörn Þórisson hersir, ",Arinbjörn Þórisson hersir,25,Arinbjorn Thorisson the Hersir,:169,Arinbjorn Thorarson,:1,:-1,:-1,:Egil
140,"Ármann Dalmannsson, í Ármannsfelli, ",Ármann Dalmannsson,,,,,,,,
141,"Ármann Hallvarðsson, í Noregi, ",Ármann Hallvarðsson,,,,,,,,
142,"Ármóðr Arnviðarson jarl (réttara Arnmóðr), ",Ármóðr Arnviðarson jarl (réttara Arnmóðr),,,,,,,,
143,"Ármóðr inn gamli Þorgrímsson, í Þykkvaskógi, ",Ármóðr inn gamli Þorgrímsson,26,Armod (of Thykkvaskog),:553,Armod,:1,:33,:328,:Laxdoela
144,"Ármóðr inn rauði Þorbjarnarson, landnm. á Rauðasandi, ",Ármóðr inn rauði Þorbjarnarson,,,,,,,,
145,"Ármóðr skegg, bóndi við Eiðaskóg, ",Ármóðr skegg,27,Armod Beard (wealthy farmer by Eidaskog),:234,Armod Beard,:1,:-1,:-1,:Egil
146,"Arnaldr (Arnaldus), patriarki í Jerúsalem, ",Arnaldr (Arnaldus),,,,,,,,
147,"Arnaldr Sæmundarson, ",Arnaldr Sæmundarson,29,Arnald Saemundarson,:76,Arnald Saemundarson,:1,:24,:225,:Vatnsdal
148,"Arnaldr, bóndi við Eiðaskóg, ",Arnaldr,28,Arnald (farmer in Eidaskog),:233,Arnald,:1,:-1,:-1,:Egil
149,"Arnaldr, byskup á Grænlandi, ",Arnaldr,,,,,,,,
150,"Arnbjörg Brandsdóttir, kona Arnórs Þorgeirssonar, ",Arnbjörg Brandsdóttir,,,,,,,,
151,"Arnbjörg Kampa-Grímsdóttir, kona Ásólfs flosa í Höfða, ",Arnbjörg Kampa-Grímsdóttir,,,,,,,,
152,"Arnbjörg Ráðormsdóttir, kona Svertings Hrólfssonar, síðar Gnúps Molda-Gnúpssonar, ",Arnbjörg Ráðormsdóttir,,,,,,,,
153,"Arnbjörg Þórðardóttir, frá Höfða, ",Arnbjörg Þórðardóttir,,,,,,,,
154,"Arnbjörg, at Arnbjargarlæk, ",Arnbjörg,,,,,,,,
155,"Arnbjörn inn sterki Ásbrandsson, frá Kambi í Breiðavík, ",Arnbjörn inn sterki Ásbrandsson,,,,,,,,
156,"Arnbjörn Óláfsson langháls (Ásbjörn), ",Arnbjörn Óláfsson langháls (Ásbjörn),,,,,,,,
157,"Arnbjörn Sleitu-Bjarnarson, ",Arnbjörn Sleitu-Bjarnarson,31,Arnbjorn Sleitu-Bjarnarson,:473,Arnbjorn,:1,:20,:303,:Laxdoela
158,"Arnbjörn, Austmaðr, ",Arnbjörn,,,,,,,,
159,"Arnbjörn, frændi Þorfinns Kárssonar, ",Arnbjörn,,,,,,,,
160,"Arndís Geirmundardóttir heljarskinns, kona Hyrnings Óláfssonar, ",Arndís Geirmundardóttir heljarskinns,,,,,,,,
161,"Arndís Heðinsdóttir, kona Heðins, ",Arndís Heðinsdóttir,,,,,,,,
162,"Arndís in auðga Steinólfsdóttir ins lága, landnámskona í Bæ í Hrútafirði, ",Arndís in auðga Steinólfsdóttir ins lága,,,,,,,,
163,"Arndís Styrbjarnardóttir, kona Hamals Þormóðarsonar, ",Arndís Styrbjarnardóttir,,,,,,,,
164,"Arndís Þórðardóttir skeggja, kona Þorgríms goða Helgasonar, ",Arndís Þórðardóttir skeggja,,,,,,,,
165,"Arndís Þorkelsdóttir ins háva (Hallfríðr), kona Vígfúss Eyjólfssonar á Þverá, ",Arndís Þorkelsdóttir ins háva (Hallfríðr),,,,,,,,
166,"Arneiðr, ",Arneiðr,,,,,,,,
167,"Arnfiðr, jarl á Hallandi, ",Arnfiðr,32,Arnfinn (Earl in Halland),:177,Earl Arnfinn in Halland,:1,:-1,:-1,:Egil
168,"Arnfinnr inn víkverski, farmaðr",Arnfinnr inn víkverski,,,,,,,,
169,"Arnfinnr Torf-Einarsson, jarl í Orkneyjum, ",Arnfinnr Torf-Einarsson,,,,,,,,
170,"Arnfríðr Sleitu-Bj arnardóttir, kona Spak-Böðvars, ",Arnfríðr Sleitu-Bj arnardóttir,,,,,,,,
171,"Arnfríðr Þorsteinsdóttir, kona Digr-Helga, ",Arnfríðr Þorsteinsdóttir,,,,,,,,
172,"Arngeirr Bersason í Hólmi í Hítardal, ",Arngeirr Bersason í Hólmi í Hítardal,35,Arngeir Bersason (from Holm),:195,Arngeir of Holm,:1,:-1,:-1,:Egil
173,"Arngeirr inn austræni, ",Arngeirr inn austræni,,,,,,,,
174,"Arngeirr inn hvassi Þormóðarson ins ramma, ",Arngeirr inn hvassi Þormóðarson ins ramma,,,,,,,,
175,"Arngeirr Sæbjarnarson goða, ",Arngeirr Sæbjarnarson goða,,,,,,,,
176,"Arngeirr Spak-Böðvarsson, ",Arngeirr Spak-Böðvarsson,,,,,,,,
177,"Arngeirr, bóndi á Steinum, ",Arngeirr,,,,,,,,
178,"Arngeirr, landnámsmaðr á Sléttu, ",Arngeirr,,,,,,,,
179,"Arngerðr Ásbrandsdóttir, Þorbrandssonar, ",Arngerðr Ásbrandsdóttir,,,,,,,,
180,"Arngerðr Þorbjarnardóttir, kona Þjóðreks Sleitu-Bjarnarsonar, ",Arngerðr Þorbjarnardóttir,,,,,,,,
181,"Arngerðr Þorkelsdóttir, kona Þorkels Torfasonar at Skáney, ",Arngerðr Þorkelsdóttir,,,,,,,,
182,"Arngerðr, kona Þormóðar ins ramma, ",Arngerðr,,,,,,,,
183,"Arngrímr goði Helgason, í Norðtungu, ",Arngrímr goði Helgason,,,,,,,,
184,"Arngrímr Guðmundarson, ",Arngrímr Guðmundarson,,,,,,,,
185,"Arngrímr Helgason bjólu, ",Arngrímr Helgason bjólu,,,,,,,,
186,"Arngrímr Þorgrímsson, ",Arngrímr Þorgrímsson,,,,,,,,
187,"Arngrímr Þorgrímsson, í Möðrufelli, ",Arngrímr Þorgrímsson,,,,,,,,
188,"Arngrímr Þorsteinsson, á Framnesi, ",Arngrímr Þorsteinsson,,,,,,,,
189,"Arngrímr, fóstri Auðólfs á Auðólfsstöðum, ",Arngrímr,,,,,,,,
190,"Arnguðr, ",Arnguðr,,,,,,,,
191,"Arngunnr Hámundardóttir (Arnguðr), kona Hróars Tungugoða,",Arngunnr Hámundardóttir (Arnguðr),,,,,,,,
192,"Arngunnr Þorsteinsdóttir drangakarls, kona Sigmundar kleykis, ",Arngunnr Þorsteinsdóttir drangakarls,,,,,,,,
193,"Arnhaldr Sæmundarson ins suðreyska (Arnaldr, Arnhallr), ",Arnhaldr Sæmundarson ins suðreyska (Arnaldr Arnhallr),,,,,,,,
194,"Arnhaldr, bróðir Sæmundar ins suðreyska, ",Arnhaldr,,,,,,,,
195,"Arnhallr Sæmundarson, ",Arnhallr Sæmundarson,,,,,,,,
196,"Arnheiðr Asbjarnardóttir jarls, kona Ketils á Arnheiðarstöðum, ",Arnheiðr Asbjarnardóttir jarls,,,,,,,,
197,"Arnheiðr Helgadóttir, kona Björgólfs jarls, ",Arnheiðr Helgadóttir,,,,,,,,
198,"Arnhöfði víkingr, ",Arnhöfði víkingr,,,,,,,,
199,"Arni Ármóðsson, ",Arni Ármóðsson,,,,,,,,
200,"Arni Árnason, norskr höfðingi, ",Arni Árnason,,,,,,,,
201,"Arni fjöruskeifr (Fjöruskeifr), ",Arni fjöruskeifr (Fjöruskeifr),,,,,,,,
202,"Arni Kolsson, ",Arni Kolsson,,,,,,,,
203,"Arni Skeggjason (Sigurðr), á Flyðrunesi, ",Arni Skeggjason (Sigurðr),37,Ami Skeggjason (the Dueller),:23,Arni Skeggjason,:1,:3,:503,:Gisla
204,"Arni Torfuson (eða Torfason), ",Arni Torfuson (eða Torfason),,,,,,,,
205,"Arni Víga-Gunnarsson, ",Arni Víga-Gunnarsson,,,,,,,,
206,"Arni Þórðarson hirðstjóri, ",Arni Þórðarson hirðstjóri,,,,,,,,
207,"Arni Þorgautsson, at Hávafelli, ",Arni Þorgautsson,,,,,,,,
208,"Arni Þorláksson, byskup í Skálaholti (Staða-Árni), ",Arni Þorláksson,,,,,,,,
209,"Arni, fylgdarmaðr Steinólfs ins lága, ",Arni,,,,,,,,
210,"Arnis ábóti Bjarnarson ins enska, ",Arnis ábóti Bjarnarson ins enska,,,,,,,,
211,"Arnkatla Þórðardóttir, Ingunnarsonar, ",Arnkatla Þórðardóttir,,,,,,,,
212,"Arnkatla Þorsteinsdóttir vífils, kona Surts Ásbjarnarsonar í Kirkjubæ, ",Arnkatla Þorsteinsdóttir vífils,,,,,,,,
213,"Arnkell goði Þórólfsson, á Bólstað, ",Arnkell goði Þórólfsson,,,,,,,,
214,"Arnlaugr, landnm. á Grænlandi, ",Arnlaugr,,,,,,,,
215,"Arnleif Illugadóttir ins ramma, kona Kolls Þórðarsonar blígs, ",Arnleif Illugadóttir ins ramma,,,,,,,,
216,"Arnleif in katneska, kona Þórólfs viligísls, ",Arnleif in katneska,,,,,,,,
217,"Arnleif Þórðardóttir gellis, kona Ásláks í Langadal, ",Arnleif Þórðardóttir gellis,,,,,,,,
218,"Arnleif Þórðardóttir, frá Höfða, ",Arnleif Þórðardóttir,,,,,,,,
219,"Arnljótr gellini, stígamaðr, ",Arnljótr gellini,,,,,,,,
220,"Arnljótr inn auðgi Gautason, at Miðfelli, ",Arnljótr inn auðgi Gautason,,,,,,,,
221,"Arnljótr sterki, jarl í Svíþjóð, ",Arnljótr sterki,,,,,,,,
222,"Arnljótr sýslumaðr, í Suðreyjum, ",Arnljótr sýslumaðr,,,,,,,,
223,"Arnljótr Þóroddsson hjálms, ",Arnljótr Þóroddsson hjálms,,,,,,,,
224,"Arnmóðr Heðinsson ins milda, ",Arnmóðr Heðinsson ins milda,,,,,,,,
225,"Arnmóðr inn skjálgi Þorkelsson vingnis, ",Arnmóðr inn skjálgi Þorkelsson vingnis,,,,,,,,
226,"Arnmóðr jarl Nereiðsson jarls ins gamla, ",Arnmóðr jarl Nereiðsson jarls ins gamla,,,,,,,,
227,"Arnoddr Óláfsson bekks, ",Arnoddr Óláfsson bekks,,,,,,,,
228,"Arnoddr Sleitu-Bjarnarson, ",Arnoddr Sleitu-Bjarnarson,,,,,,,,
229,"Arnoddr, heimamaðr á Eiðum, ",Arnoddr,,,,,,,,
230,"Arnóra Einarsdóttir, frá Laugarbrekku (ekki Lón-Einars), kona Þorgeirs Vífilssonar, ",Arnóra Einarsdóttir,,,,,,,,
231,"Arnóra Gunnbjarnardóttir, kona Kolbeins Þórðarsonar, ",Arnóra Gunnbjarnardóttir,,,,,,,,
232,"Arnóra Steinsdóttir, Þorfinnssonar, kona Þorgeirs Þórhaddssonar í Hítardal, ",Arnóra Steinsdóttir,,,,,,,,
233,"Arnóra Þórðardóttir gellis, kona Þorgests Steinssonar, ",Arnóra Þórðardóttir gellis,,,,,,,,
234,"Arnóra Þorgeirsdóttir ins óða, kona Brúna ins hvíta, ",Arnóra Þorgeirsdóttir ins óða,,,,,,,,
235,"Arnóra Þorsteinsdóttir tjaldstæðings, ",Arnóra Þorsteinsdóttir tjaldstæðings,,,,,,,,
236,"Arnórr Arndísarson, ",Arnórr Arndísarson,,,,,,,,
237,"Arnórr Birnuson, ",Arnórr Birnuson,,,,,,,,
238,"Arnórr Herlaugsson, ",Arnórr Herlaugsson,,,,,,,,
239,"Arnórr Hrútsson, Herjólfssonar, ",Arnórr Hrútsson,,,,,,,,
240,"Arnórr hýnefr Þóroddsson, ",Arnórr hýnefr Þóroddsson,,,,,,,,
241,"Arnórr inn góði Steinólfsson Rauðæingr (rauðkinnr), ",Arnórr inn góði Steinólfsson Rauðæingr (rauðkinnr),,,,,,,,
